url_path,views_total,views_unique
/weaveworks/weave-gitops,346,240
/weaveworks/weave-gitops/blob/main/doc/img/01-workloads.png,47,43
/weaveworks/weave-gitops/tree/main/charts/gitops-server,40,17
/weaveworks/weave-gitops/issues,37,19
/weaveworks/weave-gitops/blob/main/charts/gitops-server/values.yaml,34,23
/weaveworks/weave-gitops/releases,25,19
/weaveworks/weave-gitops/blob/main/doc/img/03-graph.png,22,19
/weaveworks/weave-gitops/blob/main/doc/img/02-workload-detail.png,19,19
/weaveworks/weave-gitops/commits/main,17,8
/weaveworks/weave-gitops/releases/tag/v0.38.0,16,14
