referrer,views_total,views_unique
Google,205,81
fluxcd.io,66,23
github.com,39,19
Bing,14,2
DuckDuckGo,10,2
weaveworks.org,4,2
search.brave.com,3,3
perplexity.ai,2,1
51cto.com,1,1
chatgpt.com,1,1
