url_path,views_total,views_unique
/weaveworks/weave-gitops,328,231
/weaveworks/weave-gitops/blob/main/doc/img/01-workloads.png,43,40
/weaveworks/weave-gitops/tree/main/charts/gitops-server,39,16
/weaveworks/weave-gitops/blob/main/charts/gitops-server/values.yaml,32,21
/weaveworks/weave-gitops/issues,31,19
/weaveworks/weave-gitops/releases,27,19
/weaveworks/weave-gitops/commits/main,22,10
/weaveworks/weave-gitops/blob/main/doc/img/03-graph.png,21,18
/weaveworks/weave-gitops/blob/main/doc/img/02-workload-detail.png,17,17
/weaveworks/weave-gitops/tree/main,16,13
