url_path,views_total,views_unique
/weaveworks/weave-gitops,308,224
/weaveworks/weave-gitops/tree/main/charts/gitops-server,34,17
/weaveworks/weave-gitops/blob/main/doc/img/01-workloads.png,33,31
/weaveworks/weave-gitops/releases,30,22
/weaveworks/weave-gitops/blob/main/doc/img/03-graph.png,25,22
/weaveworks/weave-gitops/blob/main/charts/gitops-server/values.yaml,22,16
/weaveworks/weave-gitops/blob/main/doc/img/02-workload-detail.png,19,19
/weaveworks/weave-gitops/commits/main,19,8
/weaveworks/weave-gitops/issues,17,12
/weaveworks/weave-gitops/tree/main,14,13
