referrer,views_total,views_unique
Google,195,80
fluxcd.io,69,26
github.com,37,18
Bing,13,1
DuckDuckGo,10,2
weaveworks.org,4,2
search.brave.com,3,3
chatgpt.com,2,2
perplexity.ai,2,1
51cto.com,1,1
