referrer,views_total,views_unique
Google,268,107
fluxcd.io,93,37
github.com,46,24
DuckDuckGo,11,3
statics.teams.cdn.office.net,7,1
chatgpt.com,4,3
weaveworks.org,4,2
search.brave.com,3,3
51cto.com,1,1
Bing,1,1
