url_path,views_total,views_unique
/weaveworks/weave-gitops,315,213
/weaveworks/weave-gitops/blob/main/doc/img/01-workloads.png,42,38
/weaveworks/weave-gitops/releases,36,25
/weaveworks/weave-gitops/issues,27,18
/weaveworks/weave-gitops/tree/main/charts/gitops-server,25,13
/weaveworks/weave-gitops/blob/main/charts/gitops-server/values.yaml,24,13
/weaveworks/weave-gitops/blob/main/doc/img/02-workload-detail.png,22,18
/weaveworks/weave-gitops/blob/main/doc/img/03-graph.png,22,18
/weaveworks/weave-gitops/pulls,16,8
/weaveworks/weave-gitops/blob/main/doc/img/04-yaml.png,13,11
