url_path,views_total,views_unique
/weaveworks/weave-gitops,231,166
/weaveworks/weave-gitops/releases,31,21
/weaveworks/weave-gitops/blob/main/doc/img/01-workloads.png,25,23
/weaveworks/weave-gitops/issues,18,14
/weaveworks/weave-gitops/tree/main/charts/gitops-server,17,10
/weaveworks/weave-gitops/blob/main/doc/img/02-workload-detail.png,16,14
/weaveworks/weave-gitops/blob/main/doc/img/03-graph.png,12,11
/weaveworks/weave-gitops/commits/main,12,5
/weaveworks/weave-gitops/releases/tag/v0.38.0,11,7
/weaveworks/weave-gitops/tree/main,10,8
