url_path,views_total,views_unique
/weaveworks/weave-gitops,270,202
/weaveworks/weave-gitops/releases,30,21
/weaveworks/weave-gitops/blob/main/doc/img/01-workloads.png,29,28
/weaveworks/weave-gitops/tree/main/charts/gitops-server,25,12
/weaveworks/weave-gitops/blob/main/doc/img/03-graph.png,22,20
/weaveworks/weave-gitops/blob/main/doc/img/02-workload-detail.png,19,19
/weaveworks/weave-gitops/blob/main/charts/gitops-server/values.yaml,18,13
/weaveworks/weave-gitops/issues,18,12
/weaveworks/weave-gitops/commits/main,14,4
/weaveworks/weave-gitops/tree/main,13,12
