time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-16 00:00:00+00:00,136,84,22,18
2025-11-17 00:00:00+00:00,407,231,81,37
2025-11-18 00:00:00+00:00,400,227,79,37
2025-11-19 00:00:00+00:00,434,268,130,35
2025-11-20 00:00:00+00:00,353,175,89,42
2025-11-21 00:00:00+00:00,345,189,159,38
2025-11-22 00:00:00+00:00,91,43,45,24
2025-11-23 00:00:00+00:00,193,62,76,18
2025-11-24 00:00:00+00:00,369,234,65,26
2025-11-25 00:00:00+00:00,366,218,122,37
2025-11-26 00:00:00+00:00,369,210,168,49
2025-11-27 00:00:00+00:00,360,211,111,31
2025-11-28 00:00:00+00:00,319,197,81,33
2025-11-29 00:00:00+00:00,109,61,21,17
