referrer,views_total,views_unique
Google,299,109
fluxcd.io,74,33
github.com,51,28
Bing,19,6
DuckDuckGo,10,4
search.brave.com,10,3
yandex.ru,6,3
51cto.com,5,1
ecosia.org,4,1
news.ycombinator.com,4,1
