url_path,views_total,views_unique
/weaveworks/weave-gitops,314,221
/weaveworks/weave-gitops/blob/main/doc/img/01-workloads.png,36,33
/weaveworks/weave-gitops/tree/main/charts/gitops-server,34,14
/weaveworks/weave-gitops/blob/main/charts/gitops-server/values.yaml,27,18
/weaveworks/weave-gitops/releases,26,19
/weaveworks/weave-gitops/issues,23,17
/weaveworks/weave-gitops/commits/main,22,10
/weaveworks/weave-gitops/blob/main/doc/img/03-graph.png,21,18
/weaveworks/weave-gitops/blob/main/doc/img/02-workload-detail.png,17,17
/weaveworks/weave-gitops/tree/main,15,12
