referrer,views_total,views_unique
Google,185,78
fluxcd.io,45,22
github.com,29,16
Bing,17,4
search.brave.com,10,3
DuckDuckGo,7,1
yandex.ru,4,2
news.ycombinator.com,4,1
weaveworks.org,3,1
perplexity.ai,2,1
