url_path,views_total,views_unique
/weaveworks/weave-gitops,227,163
/weaveworks/weave-gitops/blob/main/doc/img/01-workloads.png,26,24
/weaveworks/weave-gitops/releases,26,19
/weaveworks/weave-gitops/tree/main/charts/gitops-server,19,11
/weaveworks/weave-gitops/issues,18,14
/weaveworks/weave-gitops/blob/main/doc/img/02-workload-detail.png,17,15
/weaveworks/weave-gitops/blob/main/doc/img/03-graph.png,13,12
/weaveworks/weave-gitops/blob/main/charts/gitops-server/values.yaml,12,9
/weaveworks/weave-gitops/commits/main,12,5
/weaveworks/weave-gitops/tree/main,9,8
