time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-17 00:00:00+00:00,266,135,69,41
2025-12-18 00:00:00+00:00,409,120,106,34
2025-12-19 00:00:00+00:00,184,87,121,36
2025-12-20 00:00:00+00:00,105,63,35,18
2025-12-21 00:00:00+00:00,122,70,57,24
2025-12-22 00:00:00+00:00,129,69,45,28
2025-12-23 00:00:00+00:00,233,74,78,30
2025-12-24 00:00:00+00:00,144,79,39,16
2025-12-25 00:00:00+00:00,104,62,23,18
2025-12-26 00:00:00+00:00,97,64,41,18
2025-12-27 00:00:00+00:00,170,59,48,17
2025-12-28 00:00:00+00:00,143,74,48,21
2025-12-29 00:00:00+00:00,120,76,68,30
2025-12-30 00:00:00+00:00,156,83,45,39
