url_path,views_total,views_unique
/weaveworks/weave-gitops,250,190
/weaveworks/weave-gitops/releases,29,20
/weaveworks/weave-gitops/blob/main/doc/img/01-workloads.png,27,26
/weaveworks/weave-gitops/tree/main/charts/gitops-server,24,11
/weaveworks/weave-gitops/blob/main/doc/img/03-graph.png,20,18
/weaveworks/weave-gitops/blob/main/doc/img/02-workload-detail.png,18,18
/weaveworks/weave-gitops/blob/main/charts/gitops-server/values.yaml,16,11
/weaveworks/weave-gitops/issues,16,11
/weaveworks/weave-gitops/commits/main,14,4
/weaveworks/weave-gitops/tree/main,12,11
