referrer,views_total,views_unique
Google,249,100
fluxcd.io,86,37
github.com,47,26
weaveworks.org,10,3
statics.teams.cdn.office.net,7,1
chatgpt.com,4,3
DuckDuckGo,4,2
medium.com,4,1
search.brave.com,3,2
51cto.com,1,1
