time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-25 00:00:00+00:00,104,62,23,18
2025-12-26 00:00:00+00:00,97,64,41,18
2025-12-27 00:00:00+00:00,170,59,48,17
2025-12-28 00:00:00+00:00,143,74,48,21
2025-12-29 00:00:00+00:00,120,76,68,30
2025-12-30 00:00:00+00:00,156,83,45,39
2025-12-31 00:00:00+00:00,119,69,22,15
2026-01-01 00:00:00+00:00,98,63,18,13
2026-01-02 00:00:00+00:00,131,69,41,22
2026-01-03 00:00:00+00:00,83,53,40,11
2026-01-04 00:00:00+00:00,117,64,51,20
2026-01-05 00:00:00+00:00,158,81,81,32
2026-01-06 00:00:00+00:00,179,98,54,24
2026-01-07 00:00:00+00:00,215,79,79,44
