referrer,views_total,views_unique
Google,318,109
fluxcd.io,103,45
github.com,50,29
weaveworks.org,7,2
statics.teams.cdn.office.net,7,1
search.brave.com,5,3
medium.com,4,1
chatgpt.com,3,2
confluence.essers.com,3,1
Bing,2,2
