url_path,views_total,views_unique
/weaveworks/weave-gitops,256,178
/weaveworks/weave-gitops/blob/main/doc/img/01-workloads.png,33,30
/weaveworks/weave-gitops/releases,30,21
/weaveworks/weave-gitops/tree/main/charts/gitops-server,24,12
/weaveworks/weave-gitops/blob/main/doc/img/03-graph.png,20,16
/weaveworks/weave-gitops/blob/main/charts/gitops-server/values.yaml,20,9
/weaveworks/weave-gitops/blob/main/doc/img/02-workload-detail.png,19,17
/weaveworks/weave-gitops/issues,18,15
/weaveworks/weave-gitops/blob/main/doc/img/04-yaml.png,12,10
/weaveworks/weave-gitops/releases/tag/v0.38.0,12,8
