url_path,views_total,views_unique
/weaveworks/weave-gitops,305,220
/weaveworks/weave-gitops/blob/main/doc/img/01-workloads.png,32,30
/weaveworks/weave-gitops/tree/main/charts/gitops-server,30,13
/weaveworks/weave-gitops/releases,27,20
/weaveworks/weave-gitops/blob/main/charts/gitops-server/values.yaml,23,16
/weaveworks/weave-gitops/blob/main/doc/img/03-graph.png,22,19
/weaveworks/weave-gitops/commits/main,22,10
/weaveworks/weave-gitops/issues,19,14
/weaveworks/weave-gitops/blob/main/doc/img/02-workload-detail.png,16,16
/weaveworks/weave-gitops/releases/tag/v0.38.0,14,12
