url_path,views_total,views_unique
/weaveworks/weave-gitops,284,194
/weaveworks/weave-gitops/blob/main/doc/img/01-workloads.png,40,36
/weaveworks/weave-gitops/releases,35,25
/weaveworks/weave-gitops/issues,27,18
/weaveworks/weave-gitops/tree/main/charts/gitops-server,25,13
/weaveworks/weave-gitops/blob/main/doc/img/03-graph.png,22,18
/weaveworks/weave-gitops/blob/main/charts/gitops-server/values.yaml,22,11
/weaveworks/weave-gitops/blob/main/doc/img/02-workload-detail.png,20,17
/weaveworks/weave-gitops/pulls,15,7
/weaveworks/weave-gitops/blob/main/doc/img/04-yaml.png,13,11
