referrer,views_total,views_unique
Google,274,100
fluxcd.io,56,26
github.com,47,26
Bing,19,6
search.brave.com,10,3
DuckDuckGo,9,3
yandex.ru,6,3
51cto.com,4,1
ecosia.org,4,1
news.ycombinator.com,4,1
