referrer,views_total,views_unique
Google,324,110
fluxcd.io,86,46
github.com,42,27
statics.teams.cdn.office.net,7,1
search.brave.com,6,4
weaveworks.org,6,1
medium.com,4,1
chatgpt.com,3,2
confluence.essers.com,3,1
Bing,2,2
