time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-02 00:00:00+00:00,849,216,132,39
2025-12-03 00:00:00+00:00,1644,238,96,40
2025-12-04 00:00:00+00:00,1525,233,111,36
2025-12-05 00:00:00+00:00,1768,210,138,70
2025-12-06 00:00:00+00:00,237,63,29,20
2025-12-07 00:00:00+00:00,152,68,69,27
2025-12-08 00:00:00+00:00,803,234,124,46
2025-12-09 00:00:00+00:00,398,256,66,30
2025-12-10 00:00:00+00:00,834,262,91,43
2025-12-11 00:00:00+00:00,598,178,129,40
2025-12-12 00:00:00+00:00,352,176,119,35
2025-12-13 00:00:00+00:00,92,52,23,14
2025-12-14 00:00:00+00:00,129,66,43,21
2025-12-15 00:00:00+00:00,289,137,70,27
