referrer,views_total,views_unique
Google,258,93
fluxcd.io,54,23
github.com,44,23
Bing,18,5
search.brave.com,10,3
DuckDuckGo,7,1
yandex.ru,6,3
ecosia.org,4,1
news.ycombinator.com,4,1
51cto.com,2,1
