time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-21 00:00:00+00:00,345,189,159,38
2025-11-22 00:00:00+00:00,91,43,45,24
2025-11-23 00:00:00+00:00,193,62,76,18
2025-11-24 00:00:00+00:00,369,234,65,26
2025-11-25 00:00:00+00:00,366,218,122,37
2025-11-26 00:00:00+00:00,369,210,168,49
2025-11-27 00:00:00+00:00,360,211,111,31
2025-11-28 00:00:00+00:00,319,197,81,33
2025-11-29 00:00:00+00:00,123,73,22,18
2025-11-30 00:00:00+00:00,149,70,18,15
2025-12-01 00:00:00+00:00,312,146,82,30
2025-12-02 00:00:00+00:00,849,216,132,39
2025-12-03 00:00:00+00:00,1644,238,96,40
2025-12-04 00:00:00+00:00,1424,226,109,35
