referrer,views_total,views_unique
Google,216,89
fluxcd.io,75,31
github.com,45,22
Bing,13,1
DuckDuckGo,11,3
weaveworks.org,4,2
search.brave.com,3,3
chatgpt.com,2,2
51cto.com,1,1
gcore.com,1,1
