referrer,views_total,views_unique
Google,234,94
fluxcd.io,82,36
github.com,45,22
Bing,14,2
DuckDuckGo,11,3
chatgpt.com,4,3
weaveworks.org,4,2
search.brave.com,3,3
51cto.com,1,1
gcore.com,1,1
