time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-30 00:00:00+00:00,156,83,45,39
2025-12-31 00:00:00+00:00,119,69,22,15
2026-01-01 00:00:00+00:00,98,63,18,13
2026-01-02 00:00:00+00:00,131,69,41,22
2026-01-03 00:00:00+00:00,83,53,40,11
2026-01-04 00:00:00+00:00,117,64,51,20
2026-01-05 00:00:00+00:00,158,81,81,32
2026-01-06 00:00:00+00:00,179,98,54,24
2026-01-07 00:00:00+00:00,215,79,79,44
2026-01-08 00:00:00+00:00,179,105,65,36
2026-01-09 00:00:00+00:00,178,99,110,42
2026-01-10 00:00:00+00:00,125,73,62,12
2026-01-11 00:00:00+00:00,157,74,47,21
2026-01-12 00:00:00+00:00,285,109,61,33
