referrer,views_total,views_unique
Google,323,111
fluxcd.io,97,44
github.com,51,29
weaveworks.org,7,2
statics.teams.cdn.office.net,7,1
search.brave.com,5,3
DuckDuckGo,4,2
medium.com,4,1
chatgpt.com,3,2
confluence.essers.com,3,1
