url_path,views_total,views_unique
/weaveworks/weave-gitops,343,228
/weaveworks/weave-gitops/blob/main/doc/img/01-workloads.png,44,39
/weaveworks/weave-gitops/releases,38,27
/weaveworks/weave-gitops/issues,35,21
/weaveworks/weave-gitops/blob/main/charts/gitops-server/values.yaml,29,18
/weaveworks/weave-gitops/tree/main/charts/gitops-server,26,14
/weaveworks/weave-gitops/blob/main/doc/img/02-workload-detail.png,23,19
/weaveworks/weave-gitops/blob/main/doc/img/03-graph.png,22,18
/weaveworks/weave-gitops/pulls,19,10
/weaveworks/weave-gitops/releases/tag/v0.38.0,14,10
