url_path,views_total,views_unique
/weaveworks/weave-gitops,357,244
/weaveworks/weave-gitops/blob/main/doc/img/01-workloads.png,48,45
/weaveworks/weave-gitops/tree/main/charts/gitops-server,40,17
/weaveworks/weave-gitops/issues,37,19
/weaveworks/weave-gitops/blob/main/charts/gitops-server/values.yaml,34,23
/weaveworks/weave-gitops/releases,29,21
/weaveworks/weave-gitops/blob/main/doc/img/03-graph.png,22,19
/weaveworks/weave-gitops/commits/main,20,9
/weaveworks/weave-gitops/blob/main/doc/img/02-workload-detail.png,18,18
/weaveworks/weave-gitops/tree/main,17,14
