time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-25 00:00:00+00:00,366,218,122,37
2025-11-26 00:00:00+00:00,369,210,168,49
2025-11-27 00:00:00+00:00,360,211,111,31
2025-11-28 00:00:00+00:00,319,197,81,33
2025-11-29 00:00:00+00:00,123,73,22,18
2025-11-30 00:00:00+00:00,149,70,18,15
2025-12-01 00:00:00+00:00,312,146,82,30
2025-12-02 00:00:00+00:00,849,216,132,39
2025-12-03 00:00:00+00:00,1644,238,96,40
2025-12-04 00:00:00+00:00,1525,233,111,36
2025-12-05 00:00:00+00:00,1768,210,138,70
2025-12-06 00:00:00+00:00,237,63,29,20
2025-12-07 00:00:00+00:00,152,68,69,27
2025-12-08 00:00:00+00:00,787,226,124,46
